objectid,bundesland,landkreis,altersgruppe,geschlecht,anzahlfall,anzahltodesfall,meldedatum
146936,-nicht erhoben-,-nicht erhoben-,A15-A34,W,1,0,2020-03-20
146937,-nicht erhoben-,-nicht erhoben-,A35-A59,M,1,0,2020-03-19
146938,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,2020-03-14
146939,Schleswig-Holstein,SK Flensburg,A15-A34,M,2,0,2020-03-19
146940,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,2020-03-14
146941,Schleswig-Holstein,SK Flensburg,A15-A34,W,2,0,2020-03-18
146942,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,2020-03-14
146943,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,2020-03-20
146944,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,2020-03-14
146945,Schleswig-Holstein,SK Flensburg,A35-A59,W,2,0,2020-03-19
146946,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,2020-03-20
146947,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,2020-03-10
146948,Schleswig-Holstein,SK Kiel,A15-A34,M,2,0,2020-03-11
146949,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,2020-03-13
146950,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,2020-03-14
146951,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,2020-03-16
146952,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,2020-03-18
146953,Schleswig-Holstein,SK Kiel,A15-A34,M,1,0,2020-03-20
146954,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,2020-03-10
146955,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,2020-03-12
146956,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,2020-03-16
146957,Schleswig-Holstein,SK Kiel,A15-A34,W,1,0,2020-03-17
146958,Schleswig-Holstein,SK Kiel,A15-A34,W,2,0,2020-03-18
146959,Schleswig-Holstein,SK Kiel,A15-A34,W,3,0,2020-03-19
146960,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,2020-03-11
146961,Schleswig-Holstein,SK Kiel,A35-A59,M,1,0,2020-03-12
146962,Schleswig-Holstein,SK Kiel,A35-A59,M,3,0,2020-03-19
146963,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,2020-03-10
146964,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,2020-03-11
146965,Schleswig-Holstein,SK Kiel,A35-A59,W,2,0,2020-03-12
146966,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,2020-03-16
146967,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,2020-03-17
146968,Schleswig-Holstein,SK Kiel,A35-A59,W,1,0,2020-03-18
146969,Schleswig-Holstein,SK Kiel,A35-A59,W,2,0,2020-03-19
146970,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,2020-03-19
146971,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,2020-03-20
146972,Schleswig-Holstein,SK Kiel,A60-A79,W,1,0,2020-03-18
146973,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,2020-03-11
146974,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,2020-03-18
146975,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,2020-03-19
146976,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,2020-03-20
146977,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,2020-03-08
146978,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,2020-03-17
146979,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,2020-03-18
146980,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,2020-03-19
146981,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,2020-02-29
146982,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,2020-03-11
146983,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,2020-03-15
146984,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,2020-03-17
146985,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,2020-03-18
146986,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,2020-03-19
146987,Schleswig-Holstein,SK Lübeck,A35-A59,W,2,0,2020-03-11
146988,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,2020-03-12
146989,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,2020-03-13
146990,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,2020-03-18
146991,Schleswig-Holstein,SK Lübeck,A60-A79,M,1,0,2020-03-11
146992,Schleswig-Holstein,SK Lübeck,A60-A79,M,1,1,2020-03-18
146993,Schleswig-Holstein,SK Neumünster,A35-A59,W,1,0,2020-03-16
146994,Schleswig-Holstein,LK Dithmarschen,A15-A34,M,1,0,2020-03-18
146995,Schleswig-Holstein,LK Dithmarschen,A15-A34,W,1,0,2020-03-05
146996,Schleswig-Holstein,LK Dithmarschen,A35-A59,M,1,0,2020-03-15
146997,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,2,0,2020-03-15
146998,Schleswig-Holstein,LK Dithmarschen,A35-A59,W,1,0,2020-03-18
146999,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,2020-03-15
147000,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,2020-03-18
147001,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,2020-03-19
147002,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,2020-03-15
147003,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,2020-03-18
147004,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,2020-03-20
147005,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,2020-03-11
147006,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,2020-03-18
147007,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,2020-03-02
147008,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,2020-03-10
147009,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,2020-03-11
147010,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,2020-03-16
147011,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,2020-03-19
147012,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,1,0,2020-03-10
147013,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,2020-03-18
147014,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,2020-03-19
147015,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,3,0,2020-03-13
147016,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,1,0,2020-03-17
147017,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,M,1,0,2020-03-13
147018,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,M,1,0,2020-03-16
147019,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,M,1,0,2020-03-17
147020,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,M,1,0,2020-03-17
147021,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,W,1,0,2020-03-17
147022,Schleswig-Holstein,LK Nordfriesland,A00-A04,M,1,0,2020-03-20
147023,Schleswig-Holstein,LK Nordfriesland,A15-A34,M,2,0,2020-03-17
147024,Schleswig-Holstein,LK Nordfriesland,A15-A34,M,1,0,2020-03-18
147025,Schleswig-Holstein,LK Nordfriesland,A15-A34,W,1,0,2020-03-17
147026,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,1,0,2020-03-12
147027,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,3,0,2020-03-17
147028,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,1,0,2020-03-19
147029,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,2,0,2020-03-17
147030,Schleswig-Holstein,LK Nordfriesland,A35-A59,W,1,0,2020-03-20
147031,Schleswig-Holstein,LK Nordfriesland,A60-A79,W,1,0,2020-03-20
147032,Schleswig-Holstein,LK Nordfriesland,unbekannt,W,1,0,2020-03-19
147033,Schleswig-Holstein,LK Ostholstein,A00-A04,M,1,0,2020-03-19
147034,Schleswig-Holstein,LK Ostholstein,A35-A59,M,1,0,2020-03-10
147035,Schleswig-Holstein,LK Ostholstein,A35-A59,M,2,0,2020-03-15
147036,Schleswig-Holstein,LK Ostholstein,A35-A59,M,1,0,2020-03-16
147037,Schleswig-Holstein,LK Ostholstein,A35-A59,M,1,0,2020-03-18
147038,Schleswig-Holstein,LK Ostholstein,A35-A59,M,2,0,2020-03-19
147039,Schleswig-Holstein,LK Ostholstein,A35-A59,W,1,0,2020-03-18
147040,Schleswig-Holstein,LK Ostholstein,A35-A59,W,1,0,2020-03-19
147041,Schleswig-Holstein,LK Ostholstein,A60-A79,W,1,0,2020-03-19
147042,Schleswig-Holstein,LK Pinneberg,A05-A14,W,1,0,2020-03-13
147043,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,2020-03-14
147044,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,2020-03-17
147045,Schleswig-Holstein,LK Pinneberg,A15-A34,M,2,0,2020-03-19
147046,Schleswig-Holstein,LK Pinneberg,A15-A34,M,1,0,2020-03-20
147047,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,2020-03-09
147048,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,2020-03-12
147049,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,2020-03-14
147050,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,2020-03-17
147051,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,2020-03-19
147052,Schleswig-Holstein,LK Pinneberg,A15-A34,W,1,0,2020-03-20
147053,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,2020-03-03
147054,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,2020-03-11
147055,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,2020-03-12
147056,Schleswig-Holstein,LK Pinneberg,A35-A59,M,3,0,2020-03-13
147057,Schleswig-Holstein,LK Pinneberg,A35-A59,M,3,0,2020-03-14
147058,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,2020-03-15
147059,Schleswig-Holstein,LK Pinneberg,A35-A59,M,1,0,2020-03-16
147060,Schleswig-Holstein,LK Pinneberg,A35-A59,M,4,0,2020-03-17
147061,Schleswig-Holstein,LK Pinneberg,A35-A59,M,2,0,2020-03-18
147062,Schleswig-Holstein,LK Pinneberg,A35-A59,M,3,0,2020-03-19
147063,Schleswig-Holstein,LK Pinneberg,A35-A59,M,4,0,2020-03-20
147064,Schleswig-Holstein,LK Pinneberg,A35-A59,W,4,0,2020-03-13
147065,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,2020-03-14
147066,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,2020-03-15
147067,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,2020-03-16
147068,Schleswig-Holstein,LK Pinneberg,A35-A59,W,4,0,2020-03-17
147069,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,2020-03-18
147070,Schleswig-Holstein,LK Pinneberg,A35-A59,W,2,0,2020-03-20
147071,Schleswig-Holstein,LK Pinneberg,A60-A79,M,2,0,2020-03-11
147072,Schleswig-Holstein,LK Pinneberg,A60-A79,M,1,0,2020-03-20
147073,Schleswig-Holstein,LK Pinneberg,A60-A79,W,1,0,2020-03-06
147074,Schleswig-Holstein,LK Pinneberg,A60-A79,W,1,0,2020-03-10
147075,Schleswig-Holstein,LK Pinneberg,A60-A79,W,1,0,2020-03-11
147076,Schleswig-Holstein,LK Pinneberg,A60-A79,W,1,0,2020-03-17
147077,Schleswig-Holstein,LK Pinneberg,A60-A79,W,1,0,2020-03-18
147078,Schleswig-Holstein,LK Plön,A35-A59,M,2,0,2020-03-09
147079,Schleswig-Holstein,LK Plön,A35-A59,M,1,0,2020-03-14
147080,Schleswig-Holstein,LK Plön,A35-A59,M,1,0,2020-03-16
147081,Schleswig-Holstein,LK Plön,A35-A59,M,1,0,2020-03-20
147082,Schleswig-Holstein,LK Plön,A35-A59,W,1,0,2020-03-14
147083,Schleswig-Holstein,LK Plön,A35-A59,W,1,0,2020-03-17
147084,Schleswig-Holstein,LK Plön,A35-A59,W,1,0,2020-03-19
147085,Schleswig-Holstein,LK Plön,A60-A79,M,1,0,2020-03-14
147086,Schleswig-Holstein,LK Plön,A60-A79,M,2,0,2020-03-18
147087,Schleswig-Holstein,LK Plön,A60-A79,W,1,0,2020-03-16
147088,Schleswig-Holstein,LK Rendsburg-Eckernförde,A15-A34,W,2,0,2020-03-15
147089,Schleswig-Holstein,LK Rendsburg-Eckernförde,A15-A34,W,2,0,2020-03-19
147090,Schleswig-Holstein,LK Rendsburg-Eckernförde,A15-A34,W,1,0,2020-03-20
147091,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,M,1,0,2020-03-11
147092,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,M,1,0,2020-03-13
147093,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,M,2,0,2020-03-15
147094,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,M,2,0,2020-03-17
147095,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,M,2,0,2020-03-18
147096,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,M,1,0,2020-03-20
147097,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,W,1,0,2020-03-11
147098,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,W,1,0,2020-03-17
147099,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,W,1,0,2020-03-18
147100,Schleswig-Holstein,LK Rendsburg-Eckernförde,A35-A59,W,1,0,2020-03-20
147101,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,M,1,0,2020-03-12
147102,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,M,1,0,2020-03-13
147103,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,M,1,0,2020-03-16
147104,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,M,1,0,2020-03-18
147105,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,M,1,0,2020-03-20
147106,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,W,2,0,2020-03-12
147107,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,W,1,0,2020-03-13
147108,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,W,1,0,2020-03-17
147109,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,W,1,0,2020-03-18
147110,Schleswig-Holstein,LK Rendsburg-Eckernförde,A60-A79,W,1,0,2020-03-20
147111,Schleswig-Holstein,LK Rendsburg-Eckernförde,A80+,W,1,0,2020-03-19
147112,Schleswig-Holstein,LK Schleswig-Flensburg,A05-A14,M,2,0,2020-03-15
147113,Schleswig-Holstein,LK Schleswig-Flensburg,A05-A14,M,1,0,2020-03-17
147114,Schleswig-Holstein,LK Schleswig-Flensburg,A05-A14,W,1,0,2020-03-15
147115,Schleswig-Holstein,LK Schleswig-Flensburg,A15-A34,W,1,0,2020-03-16
147116,Schleswig-Holstein,LK Schleswig-Flensburg,A35-A59,M,1,0,2020-03-11
147117,Schleswig-Holstein,LK Schleswig-Flensburg,A35-A59,M,2,0,2020-03-12
147118,Schleswig-Holstein,LK Schleswig-Flensburg,A35-A59,M,2,0,2020-03-13
147119,Schleswig-Holstein,LK Schleswig-Flensburg,A35-A59,M,4,0,2020-03-14
147120,Schleswig-Holstein,LK Schleswig-Flensburg,A35-A59,M,1,0,2020-03-18
147121,Schleswig-Holstein,LK Schleswig-Flensburg,A35-A59,M,1,0,2020-03-20
147122,Schleswig-Holstein,LK Schleswig-Flensburg,A35-A59,W,1,0,2020-03-13
147123,Schleswig-Holstein,LK Schleswig-Flensburg,A35-A59,W,1,0,2020-03-14
147124,Schleswig-Holstein,LK Schleswig-Flensburg,A35-A59,W,2,0,2020-03-15
147125,Schleswig-Holstein,LK Schleswig-Flensburg,A35-A59,W,1,0,2020-03-19
147126,Schleswig-Holstein,LK Schleswig-Flensburg,A60-A79,M,1,0,2020-03-18
147127,Schleswig-Holstein,LK Schleswig-Flensburg,A60-A79,W,1,0,2020-03-18
147128,Schleswig-Holstein,LK Schleswig-Flensburg,A80+,M,1,0,2020-03-19
147129,Schleswig-Holstein,LK Segeberg,A15-A34,M,1,0,2020-03-16
147130,Schleswig-Holstein,LK Segeberg,A15-A34,M,1,0,2020-03-17
147131,Schleswig-Holstein,LK Segeberg,A15-A34,M,1,0,2020-03-19
147132,Schleswig-Holstein,LK Segeberg,A15-A34,W,2,0,2020-03-20
147133,Schleswig-Holstein,LK Segeberg,A35-A59,M,1,0,2020-03-12
147134,Schleswig-Holstein,LK Segeberg,A35-A59,M,2,0,2020-03-14
147135,Schleswig-Holstein,LK Segeberg,A35-A59,M,2,0,2020-03-16
147136,Schleswig-Holstein,LK Segeberg,A35-A59,M,1,0,2020-03-17
147137,Schleswig-Holstein,LK Segeberg,A35-A59,M,1,0,2020-03-18
147138,Schleswig-Holstein,LK Segeberg,A35-A59,M,1,0,2020-03-19
147139,Schleswig-Holstein,LK Segeberg,A35-A59,M,3,0,2020-03-20
147140,Schleswig-Holstein,LK Segeberg,A35-A59,W,1,0,2020-03-16
147141,Schleswig-Holstein,LK Segeberg,A35-A59,W,1,0,2020-03-18
147142,Schleswig-Holstein,LK Segeberg,A35-A59,W,2,0,2020-03-19
147143,Schleswig-Holstein,LK Segeberg,A60-A79,M,1,0,2020-02-28
147144,Schleswig-Holstein,LK Segeberg,A60-A79,M,1,0,2020-03-17
147145,Schleswig-Holstein,LK Segeberg,A60-A79,M,2,0,2020-03-18
147146,Schleswig-Holstein,LK Segeberg,A60-A79,W,1,0,2020-03-06
147147,Schleswig-Holstein,LK Segeberg,A60-A79,W,1,0,2020-03-12
147148,Schleswig-Holstein,LK Segeberg,A60-A79,W,1,0,2020-03-17
147149,Schleswig-Holstein,LK Steinburg,A15-A34,M,1,0,2020-03-14
147150,Schleswig-Holstein,LK Steinburg,A15-A34,M,1,0,2020-03-19
147151,Schleswig-Holstein,LK Steinburg,A15-A34,W,1,0,2020-03-19
147152,Schleswig-Holstein,LK Steinburg,A15-A34,W,2,0,2020-03-20
147153,Schleswig-Holstein,LK Steinburg,A35-A59,M,1,0,2020-03-19
147154,Schleswig-Holstein,LK Steinburg,A35-A59,M,1,0,2020-03-20
147155,Schleswig-Holstein,LK Steinburg,A35-A59,W,2,0,2020-03-13
147156,Schleswig-Holstein,LK Steinburg,A35-A59,W,2,0,2020-03-20
147157,Schleswig-Holstein,LK Steinburg,A60-A79,M,1,0,2020-03-19
147158,Schleswig-Holstein,LK Stormarn,A15-A34,M,1,0,2020-03-12
147159,Schleswig-Holstein,LK Stormarn,A15-A34,W,2,0,2020-03-16
147160,Schleswig-Holstein,LK Stormarn,A35-A59,M,1,0,2020-03-12
147161,Schleswig-Holstein,LK Stormarn,A35-A59,M,2,0,2020-03-13
147162,Schleswig-Holstein,LK Stormarn,A35-A59,M,1,0,2020-03-14
147163,Schleswig-Holstein,LK Stormarn,A35-A59,M,2,0,2020-03-18
147164,Schleswig-Holstein,LK Stormarn,A35-A59,W,1,0,2020-03-13
147165,Schleswig-Holstein,LK Stormarn,A35-A59,W,1,0,2020-03-17
147166,Schleswig-Holstein,LK Stormarn,A80+,M,1,0,2020-03-18
147167,Hamburg,SK Hamburg,A00-A04,M,1,0,2020-03-10
147168,Hamburg,SK Hamburg,A00-A04,M,1,0,2020-03-15
147169,Hamburg,SK Hamburg,A00-A04,M,1,0,2020-03-17
147170,Hamburg,SK Hamburg,A00-A04,W,1,0,2020-03-13
147171,Hamburg,SK Hamburg,A00-A04,W,2,0,2020-03-14
147172,Hamburg,SK Hamburg,A05-A14,M,1,0,2020-03-11
147173,Hamburg,SK Hamburg,A05-A14,M,4,0,2020-03-12
147174,Hamburg,SK Hamburg,A05-A14,M,3,0,2020-03-14
147175,Hamburg,SK Hamburg,A05-A14,M,3,0,2020-03-16
147176,Hamburg,SK Hamburg,A05-A14,M,1,0,2020-03-17
147177,Hamburg,SK Hamburg,A05-A14,M,1,0,2020-03-19
147178,Hamburg,SK Hamburg,A05-A14,W,1,0,2020-03-11
147179,Hamburg,SK Hamburg,A05-A14,W,1,0,2020-03-14
147180,Hamburg,SK Hamburg,A05-A14,W,3,0,2020-03-15
147181,Hamburg,SK Hamburg,A05-A14,W,4,0,2020-03-16
147182,Hamburg,SK Hamburg,A05-A14,W,2,0,2020-03-17
147183,Hamburg,SK Hamburg,A15-A34,M,1,0,2020-03-06
147184,Hamburg,SK Hamburg,A15-A34,M,1,0,2020-03-07
147185,Hamburg,SK Hamburg,A15-A34,M,1,0,2020-03-08
147186,Hamburg,SK Hamburg,A15-A34,M,1,0,2020-03-09
147187,Hamburg,SK Hamburg,A15-A34,M,5,0,2020-03-10
147188,Hamburg,SK Hamburg,A15-A34,M,4,0,2020-03-11
147189,Hamburg,SK Hamburg,A15-A34,M,5,0,2020-03-12
147190,Hamburg,SK Hamburg,A15-A34,M,7,0,2020-03-13
147191,Hamburg,SK Hamburg,A15-A34,M,15,0,2020-03-14
147192,Hamburg,SK Hamburg,A15-A34,M,13,0,2020-03-15
147193,Hamburg,SK Hamburg,A15-A34,M,10,0,2020-03-16
147194,Hamburg,SK Hamburg,A15-A34,M,12,0,2020-03-17
147195,Hamburg,SK Hamburg,A15-A34,M,17,0,2020-03-18
147196,Hamburg,SK Hamburg,A15-A34,M,4,0,2020-03-19
147197,Hamburg,SK Hamburg,A15-A34,unbekannt,1,0,2020-03-17
147198,Hamburg,SK Hamburg,A15-A34,W,3,0,2020-03-05
147199,Hamburg,SK Hamburg,A15-A34,W,1,0,2020-03-06
147200,Hamburg,SK Hamburg,A15-A34,W,3,0,2020-03-09
147201,Hamburg,SK Hamburg,A15-A34,W,2,0,2020-03-10
147202,Hamburg,SK Hamburg,A15-A34,W,7,0,2020-03-11
147203,Hamburg,SK Hamburg,A15-A34,W,2,0,2020-03-12
147204,Hamburg,SK Hamburg,A15-A34,W,5,0,2020-03-13
147205,Hamburg,SK Hamburg,A15-A34,W,13,0,2020-03-14
147206,Hamburg,SK Hamburg,A15-A34,W,12,0,2020-03-15
147207,Hamburg,SK Hamburg,A15-A34,W,11,0,2020-03-16
147208,Hamburg,SK Hamburg,A15-A34,W,15,0,2020-03-17
147209,Hamburg,SK Hamburg,A15-A34,W,10,0,2020-03-18
147210,Hamburg,SK Hamburg,A15-A34,W,4,0,2020-03-19
147211,Hamburg,SK Hamburg,A35-A59,M,1,0,2020-03-04
147212,Hamburg,SK Hamburg,A35-A59,M,1,0,2020-03-05
147213,Hamburg,SK Hamburg,A35-A59,M,1,0,2020-03-07
147214,Hamburg,SK Hamburg,A35-A59,M,2,0,2020-03-08
147215,Hamburg,SK Hamburg,A35-A59,M,8,0,2020-03-09
147216,Hamburg,SK Hamburg,A35-A59,M,7,0,2020-03-10
147217,Hamburg,SK Hamburg,A35-A59,M,8,0,2020-03-11
147218,Hamburg,SK Hamburg,A35-A59,M,16,0,2020-03-12
147219,Hamburg,SK Hamburg,A35-A59,M,10,0,2020-03-13
147220,Hamburg,SK Hamburg,A35-A59,M,15,0,2020-03-14
147221,Hamburg,SK Hamburg,A35-A59,M,16,0,2020-03-15
147222,Hamburg,SK Hamburg,A35-A59,M,15,0,2020-03-16
147223,Hamburg,SK Hamburg,A35-A59,M,33,0,2020-03-17
147224,Hamburg,SK Hamburg,A35-A59,M,28,0,2020-03-18
147225,Hamburg,SK Hamburg,A35-A59,M,6,0,2020-03-19
147226,Hamburg,SK Hamburg,A35-A59,W,1,0,2020-02-29
147227,Hamburg,SK Hamburg,A35-A59,W,1,0,2020-03-04
147228,Hamburg,SK Hamburg,A35-A59,W,1,0,2020-03-07
147229,Hamburg,SK Hamburg,A35-A59,W,2,0,2020-03-08
147230,Hamburg,SK Hamburg,A35-A59,W,4,0,2020-03-09
147231,Hamburg,SK Hamburg,A35-A59,W,5,0,2020-03-10
147232,Hamburg,SK Hamburg,A35-A59,W,4,0,2020-03-11
147233,Hamburg,SK Hamburg,A35-A59,W,12,0,2020-03-12
147234,Hamburg,SK Hamburg,A35-A59,W,5,0,2020-03-13
147235,Hamburg,SK Hamburg,A35-A59,W,17,0,2020-03-14
147236,Hamburg,SK Hamburg,A35-A59,W,25,0,2020-03-15
147237,Hamburg,SK Hamburg,A35-A59,W,14,0,2020-03-16
147238,Hamburg,SK Hamburg,A35-A59,W,22,0,2020-03-17
147239,Hamburg,SK Hamburg,A35-A59,W,14,0,2020-03-18
147240,Hamburg,SK Hamburg,A35-A59,W,7,0,2020-03-19
147241,Hamburg,SK Hamburg,A60-A79,M,2,0,2020-03-09
147242,Hamburg,SK Hamburg,A60-A79,M,2,0,2020-03-10
147243,Hamburg,SK Hamburg,A60-A79,M,1,0,2020-03-11
147244,Hamburg,SK Hamburg,A60-A79,M,1,0,2020-03-12
147245,Hamburg,SK Hamburg,A60-A79,M,3,0,2020-03-14
147246,Hamburg,SK Hamburg,A60-A79,M,1,0,2020-03-15
147247,Hamburg,SK Hamburg,A60-A79,M,6,0,2020-03-16
147248,Hamburg,SK Hamburg,A60-A79,M,9,0,2020-03-17
147249,Hamburg,SK Hamburg,A60-A79,M,8,0,2020-03-18
147250,Hamburg,SK Hamburg,A60-A79,M,4,0,2020-03-19
147251,Hamburg,SK Hamburg,A60-A79,W,1,0,2020-03-01
147252,Hamburg,SK Hamburg,A60-A79,W,1,0,2020-03-05
147253,Hamburg,SK Hamburg,A60-A79,W,1,0,2020-03-09
147254,Hamburg,SK Hamburg,A60-A79,W,2,0,2020-03-10
147255,Hamburg,SK Hamburg,A60-A79,W,1,0,2020-03-11
147256,Hamburg,SK Hamburg,A60-A79,W,1,0,2020-03-13
147257,Hamburg,SK Hamburg,A60-A79,W,3,0,2020-03-14
147258,Hamburg,SK Hamburg,A60-A79,W,1,0,2020-03-15
147259,Hamburg,SK Hamburg,A60-A79,W,2,0,2020-03-16
147260,Hamburg,SK Hamburg,A60-A79,W,4,0,2020-03-17
147261,Hamburg,SK Hamburg,A60-A79,W,3,0,2020-03-18
147262,Hamburg,SK Hamburg,A60-A79,W,3,0,2020-03-19
147263,Hamburg,SK Hamburg,A80+,M,1,0,2020-03-10
147264,Hamburg,SK Hamburg,A80+,M,1,0,2020-03-13
147265,Hamburg,SK Hamburg,A80+,M,4,0,2020-03-17
147266,Hamburg,SK Hamburg,A80+,M,1,0,2020-03-19
147267,Hamburg,SK Hamburg,A80+,W,2,0,2020-03-17
147268,Hamburg,SK Hamburg,unbekannt,W,1,0,2020-03-14
147269,Hamburg,SK Hamburg,unbekannt,W,1,0,2020-03-16
147270,Niedersachsen,SK Braunschweig,A15-A34,W,1,0,2020-03-05
147271,Niedersachsen,SK Braunschweig,A35-A59,M,1,0,2020-03-11
147272,Niedersachsen,SK Braunschweig,A35-A59,M,1,0,2020-03-14
147273,Niedersachsen,SK Braunschweig,A35-A59,M,1,0,2020-03-18
147274,Niedersachsen,SK Braunschweig,A35-A59,W,1,0,2020-03-14
147275,Niedersachsen,SK Braunschweig,A35-A59,W,1,0,2020-03-15
147276,Niedersachsen,SK Braunschweig,A35-A59,W,2,0,2020-03-17
147277,Niedersachsen,SK Braunschweig,A35-A59,W,1,0,2020-03-18
